example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/calculations_spec.rb[1:1]  | passed | 0.30693 seconds |
./spec/features/calculations_spec.rb[2:1]  | passed | 0.01523 seconds |
./spec/features/calculations_spec.rb[3:1]  | passed | 0.02108 seconds |
./spec/features/calculations_spec.rb[4:1]  | passed | 0.0246 seconds  |
./spec/features/calculations_spec.rb[5:1]  | passed | 0.02732 seconds |
./spec/features/calculations_spec.rb[6:1]  | passed | 0.04537 seconds |
./spec/features/calculations_spec.rb[7:1]  | passed | 0.02292 seconds |
./spec/features/calculations_spec.rb[8:1]  | passed | 0.05125 seconds |
./spec/features/calculations_spec.rb[9:1]  | passed | 0.03847 seconds |
./spec/features/calculations_spec.rb[10:1] | passed | 0.01411 seconds |
./spec/features/calculations_spec.rb[11:1] | passed | 0.0141 seconds  |
./spec/features/calculations_spec.rb[12:1] | passed | 0.01342 seconds |
./spec/features/calculations_spec.rb[13:1] | passed | 0.01469 seconds |
./spec/features/calculations_spec.rb[14:1] | passed | 0.0174 seconds  |
./spec/features/calculations_spec.rb[15:1] | passed | 0.02847 seconds |
./spec/features/calculations_spec.rb[16:1] | passed | 0.03044 seconds |
./spec/features/calculations_spec.rb[17:1] | passed | 0.02987 seconds |
./spec/features/calculations_spec.rb[18:1] | passed | 0.02938 seconds |
./spec/features/calculations_spec.rb[19:1] | passed | 0.01284 seconds |
./spec/features/calculations_spec.rb[20:1] | passed | 0.01207 seconds |
./spec/features/calculations_spec.rb[21:1] | passed | 0.01237 seconds |
./spec/features/calculations_spec.rb[22:1] | passed | 0.01298 seconds |
./spec/features/calculations_spec.rb[23:1] | passed | 0.0162 seconds  |
./spec/features/calculations_spec.rb[24:1] | passed | 0.01438 seconds |
./spec/features/calculations_spec.rb[25:1] | passed | 0.01156 seconds |
./spec/features/calculations_spec.rb[26:1] | passed | 0.02851 seconds |
./spec/features/calculations_spec.rb[27:1] | passed | 0.01362 seconds |
./spec/features/calculations_spec.rb[28:1] | passed | 0.0283 seconds  |
./spec/features/calculations_spec.rb[29:1] | passed | 0.02922 seconds |
./spec/features/calculations_spec.rb[30:1] | passed | 0.03022 seconds |
./spec/features/calculations_spec.rb[31:1] | passed | 0.03096 seconds |
./spec/features/calculations_spec.rb[32:1] | passed | 0.03135 seconds |
./spec/features/calculations_spec.rb[33:1] | passed | 0.01345 seconds |
./spec/features/calculations_spec.rb[34:1] | passed | 0.01239 seconds |
./spec/features/calculations_spec.rb[35:1] | passed | 0.0126 seconds  |
./spec/features/calculations_spec.rb[36:1] | passed | 0.03721 seconds |
./spec/features/calculations_spec.rb[37:1] | passed | 0.01256 seconds |
./spec/features/calculations_spec.rb[38:1] | passed | 0.0125 seconds  |
./spec/features/calculations_spec.rb[39:1] | passed | 0.02519 seconds |
./spec/features/calculations_spec.rb[40:1] | passed | 0.0115 seconds  |
./spec/features/calculations_spec.rb[41:1] | passed | 0.13321 seconds |
